,Unnamed: 0,Unnamed: 0.1,WellName,y_pred_1_date,y_pred_1_value,y_ture_1_date,y_true_1_value,y_pred_2_date,y_pred_2_value,y_ture_2_date,y_true_2_value,y_pred_3_date,y_pred_3_value,y_ture_3_date,y_true_3_value,y_pred_4_date,y_pred_4_value,y_ture_4_date,y_true_4_value,y_pred_5_date,y_pred_5_value,y_ture_5_date,y_true_5_value,rmse,rec_y_pred_1_date,rec_y_pred_1_value,rec_y_pred_2_date,rec_y_pred_2_value,rec_y_pred_3_date,rec_y_pred_3_value,rec_y_pred_4_date,rec_y_pred_4_value,rec_y_pred_5_date,rec_y_pred_5_value,rec_rmse
0,0,0,MW-112d,2016-12-31,0.5,2017,0.625,2017-12-31,0.5,2018,0.8,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.75,2020-12-31,0.5,2020-11-04,0.5,0.033625,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
1,1,1,MW-61d,2016-12-31,1.3372380696611188,2017,5.4,2017-12-31,1.4137545874425652,2018,6.5,2018-12-31,1.4902711052240112,2019,6.3,2019-12-31,1.5667876230054572,2020,9.25,2020-12-31,2.3888081062045865,2020-12-14,10.0,36.49428268295894,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,17.715527662464858
2,2,2,MW-42s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-07,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
4,4,4,593 Allison,2011-12-31,657.7045211194187,2012,376.5,2012-12-31,726.3948860899094,2013,330.0,2013-12-31,795.7751897310609,2014,200.0,2014-12-31,865.5718154650684,2015,135.0,2015-12-31,935.538620668596,2015-11-23,160.0,345269.658963158,2015-12-31,410.0,2016-12-31,386.0,2017-12-31,363.0,2018-12-31,340.0,2019-12-31,317.0,7375.833063768179
5,5,5,AMW-1,2016-12-31,330.0,2017,300.0,2017-12-31,330.0,2018,320.0,2018-12-31,330.0,2019,340.0,2019-12-31,330.0,2020,250.0,2020-12-31,330.0,2020-08-21,250.0,2780.0,2015-12-31,376.5675400106149,2016-12-31,376.5675400106149,2017-12-31,376.5675400106149,2018-12-31,376.5675400106149,2019-12-31,376.5675400106149,16.066570285905595
6,6,6,MW-84s,2017-12-31,186.9200045413164,2018,48.80833333333333,2018-12-31,294.86642312268515,2019,71.47500000000001,2019-12-31,402.81284169763416,2020,225.3333333333333,,,,,,,,,,2015-12-31,506.6242659257285,2016-12-31,512.2842723223151,2017-12-31,518.1547956378819,2018-12-31,524.235170885597,2019-12-31,530.5247221115837,156747.0811407363
7,7,7,MW-82d,2012-12-31,1.3312702455692491,2013,0.5,2013-12-31,1.7079156896559209,2014,2.0,2014-12-31,2.069722372269425,2015,2.0,2015-12-31,2.4051612309219608,2016,0.5,2016-12-31,2.793909066411328,2016-09-12,0.5,1.9345685590969968,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
8,8,8,2950 Valley,2007-12-31,0.5,2007-08-09,0.5,2008-12-31,0.5,2007-08-09,0.5,2009-12-31,0.5,2012-01-09,0.5,2010-12-31,0.5,2012-01-09,0.5,2011-12-31,0.5,2012,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
9,9,9,MW-BE-1s,2016-12-31,347.1198543830203,2017,787.5,2017-12-31,370.6401593721496,2018,730.0,2018-12-31,568.6531861795472,2019,710.0,2019-12-31,781.6200648811824,2020,652.5,2020-12-31,880.7107222555913,2020-10-22,650.0,82590.50360110348,2015-12-31,637.8925702576405,2016-12-31,665.5392189346135,2017-12-31,693.2072053525922,2018-12-31,720.9610360194762,2019-12-31,748.8007109352661,5736.596986941916
10,10,10,MW-62d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-11-20,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
11,11,11,2652 Dexter Rd,2007-12-31,0.5,2008,15.5,2008-12-31,0.5,2009,17.0,2009-12-31,0.5,2010,17.5,2010-12-31,0.5,2011,1.25,2011-12-31,0.5,2011-11-08,0.5,157.3625,2015-12-31,541.993303698295,2016-12-31,444.56558648859215,2017-12-31,196.4928153595741,2018-12-31,187.7879798362732,2019-12-31,182.81640611631485,145522.6754368052
12,12,12,MW-87s,2013-12-31,2093.0008221758567,2014,747.5,2014-12-31,2939.978384717949,2015,1002.5,2015-12-31,3783.1447371076138,2016,845.0,2016-12-31,4622.691127319318,2017,470.0,2017-12-31,5458.817973933029,2017-02-02,470.0,11266007.565174438,2015-12-31,432.7149545909176,2016-12-31,492.063509240888,2017-12-31,563.8878405181445,2018-12-31,710.6935675158536,2019-12-31,1004.06608752743,50145.393640971175
13,13,13,IW-2,2016-12-31,2620.458463479505,2017,360.0,2017-12-31,3432.8176696920714,2018,365.0,2018-12-31,3779.481401653191,2019,1062.0,2019-12-31,4576.833312048103,2020,1750.0,2020-12-31,5367.219376971723,2020-11-18 00:00:00,1700.0,8669073.484172747,2015-12-31,315.9583631313697,2016-12-31,508.2166567048559,2017-12-31,361.46112875322257,2018-12-31,558.2477991328223,2019-12-31,340.87110834019614,9633.655455449449
14,14,14,MW-41s,2016-12-31,23.0,2017,17.0,2017-12-31,24.0,2018,18.0,2018-12-31,25.0,2019,17.0,2019-12-31,25.0,2020,17.0,2020-12-31,26.0,2020-12-16,15.0,64.2,2015-12-31,18.786569065541723,2016-12-31,18.89556827373848,2017-12-31,19.001913826176644,2018-12-31,19.10684688595341,2019-12-31,19.210513949904573,1.2306108846789745
16,16,16,4470 Jackson Rd,2015-12-31,0.5,2016,0.5,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
17,17,17,MW-47d,2011-12-31,0.5,2012,0.5,2012-12-31,0.5,2013,0.5,2013-12-31,0.5,2014,0.5,2014-12-31,0.5,2015,0.5,2015-12-31,0.5,2015-11-13,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,,,,,,,
18,18,18,MW-107,2016-12-31,705.3479750349544,2017,752.5,2017-12-31,870.4184342525499,2018,727.5,2018-12-31,1039.0642117991288,2019,720.0,2019-12-31,1211.800807803543,2020,675.0,2020-12-31,1389.134785374604,2020-10-21,670.0,185952.1820705636,2015-12-31,519.6855353446457,2016-12-31,633.0282635243706,2017-12-31,792.598829127759,2018-12-31,1009.5087176982788,2019-12-31,1290.130314704783,94561.66689580704
19,19,19,TW-4,2016-12-31,34.99999999999999,2017,47.0,2017-12-31,34.99999999999999,2018,49.5,2018-12-31,34.99999999999999,2019,40.0,2019-12-31,34.99999999999999,2020,40.5,2020-12-31,34.99999999999999,2020-11-17,43.0,94.70000000000012,2015-12-31,42.52046368615314,2016-12-31,42.52046368615314,2017-12-31,42.52046368615314,2018-12-31,42.52046368615314,2019-12-31,42.52046368615314,25.29470142478776
20,20,20,MW-53i,2016-12-31,40.52803538870245,2017,53.46153846153846,2017-12-31,42.28963992615306,2018,51.583333333333336,2018-12-31,44.05124446360365,2019,47.25,2019-12-31,45.81284900105426,2020,35.416666666666664,2020-12-31,47.5792798523061,2020-12-03,63.0,121.95189857333526,2015-12-31,50.70525411961609,2016-12-31,50.70525411961609,2017-12-31,50.70525411961609,2018-12-31,50.70525411961609,2019-12-31,50.70525411961609,0.4359141383929893
21,21,21,TW-3,2016-12-31,0.5,2017,0.75,2017-12-31,0.5,2018,4.35,2018-12-31,0.5,2019,41.0,2019-12-31,0.5,2020,42.5,2020-12-31,0.5,2020-11-23,42.0,1028.277,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,351.7412979094338
22,22,22,4141 Jackson Rd,2015-12-31,5.859855233157017,2016,3.5,2016-12-31,5.746871302697215,2017,3.0,2017-12-31,5.6426009825353125,2018,1.5,2018-12-31,5.5460940161570464,2019,3.0,2019-12-31,5.456552069537236,2020,2.0,9.74114170481509,2015-12-31,4.78399830318606,2016-12-31,4.78399830318606,2017-12-31,4.78399830318606,2018-12-31,4.78399830318606,2019-12-31,4.78399830318606,2.401687448931737
23,23,23,MW-100,2016-12-31,3378.728020768496,2017,2325.0,2017-12-31,4333.466791472165,2018,2250.0,2018-12-31,5449.2687119687325,2019,2125.0,2019-12-31,6529.936960664869,2020,2150.0,2020-12-31,8060.657062905433,2020-10-28,2200.0,14006617.614135165,2015-12-31,2270.9813494607283,2016-12-31,3837.803427643066,2017-12-31,5957.524711233153,2018-12-31,16175.515923606668,,,
25,25,25,MW-9d,2005-12-31,7.216464865359235,2006,0.5,2006-12-31,7.063076971252034,2007,0.5,2007-12-31,6.693748890896348,2008,0.5,2008-12-31,6.127440991521134,2009,0.5,2009-12-31,5.399047688610451,2010,0.5,36.44323306199907,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
26,26,26,MW-106s,,,,,,,,,,,,,,,,,,,,,,2015-12-31,193.6996337436255,2016-12-31,193.6996337436255,2017-12-31,193.6996337436255,2018-12-31,193.6996337436255,2019-12-31,193.6996337436255,1442.420604029263
27,27,27,MW-15d,2016-12-31,3.241045010925741,2017,0.5,2017-12-31,13.397796229350108,2018,0.5,2018-12-31,58.98193426090986,2019,0.5,2019-12-31,195.8267121274676,2020,1.4,2020-12-31,616.2721096528795,2020-08-11,1.4,83892.6921455806,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,1.8765557089108893
28,28,28,MW-KZ-1,2007-12-31,0.5,2008,0.5,2008-12-31,0.5,2009,0.5,2009-12-31,0.5,2010,0.5,2010-12-31,0.5,2011,0.5,2011-12-31,0.5,2011-11-15,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
29,29,29,MW-76i,2016-12-31,89.26217254331684,2017,110.83333333333331,2017-12-31,84.86708280983312,2018,100.5,2018-12-31,75.32153340873208,2019,95.66666666666669,2019-12-31,62.13012919784378,2020,88.33333333333333,2020-12-31,45.377546325478974,2020-12-02,120.0,1475.74920487173,,,,,,,,,,,
30,30,30,MW-60,2016-12-31,4.0,2017,3.0,2017-12-31,4.0,2018,3.2,2018-12-31,4.0,2019,2.9,2019-12-31,4.0,2020,3.2,2020-12-31,4.0,2020-08-14,3.2,0.8259999999999998,,,,,,,,,,,
31,31,31,MW-56d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-12-14,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
32,32,32,Bethlehem Cemetery,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-10-26,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
33,33,33,MW-67,2011-12-31,0.5,2011-09-25,0.5,2012-12-31,0.5,2013,0.5,2013-12-31,0.5,2014,0.5,2014-12-31,0.5,2015,0.5,2015-12-31,0.5,2015-07-23,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
34,34,34,MW-123s,2016-12-31,0.5002012334419529,2017,0.5,2017-12-31,0.5004024668839058,2018,0.5,2018-12-31,0.5006037003258587,2019,0.5,2019-12-31,0.5008049337678115,2020,0.5,2020-12-31,0.5010061672097644,2020-10-15,0.5,4.454438797622612e-07,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
35,35,35,MW-93,2016-12-31,13.71169971564176,2017,8.25,2017-12-31,26.905244819363045,2018,3.725,2018-12-31,166.7956887296264,2019,1.225,,,,,,,,,,2015-12-31,4.594011728588968,2016-12-31,4.760877251034901,2017-12-31,4.859726238343454,2018-12-31,4.665044342682132,2019-12-31,4.196375697129846,0.4581317659324148
36,36,36,PMW-1,2016-12-31,123.06873153689428,2017,160.0,2017-12-31,105.77745416145994,2018,150.0,2018-12-31,100.0,2019,110.0,2019-12-31,100.0,2020,140.0,2020-12-31,100.0,2020-08-21,140.0,1323.910430147153,2015-12-31,150.37199729399887,2016-12-31,145.75358122849224,2017-12-31,141.2304097053058,2018-12-31,136.7984623833305,2019-12-31,132.45391544605823,293.33423570643765
37,37,37,TW-14,2016-12-31,13.731188610256714,2017,35.5,2017-12-31,10.860461231742006,2018,42.333333333333336,2018-12-31,8.703708437285659,2019,17.5,2019-12-31,7.04978483552173,2020,33.0,2020-12-31,5.7566472349358975,2020-11-23,22.0,495.8115498069311,2015-12-31,9.699758247436804,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,618.0108093555573
38,38,38,MOW-1,,,,,,,,,,,,,,,,,,,,,,2015-12-31,605.442637515396,2016-12-31,605.442637515396,2017-12-31,605.442637515396,2018-12-31,605.442637515396,2019-12-31,605.442637515396,41.19853187564906
40,40,40,MW-51,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-12-10,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
41,41,41,MW-3d,2005-12-31,0.5,2006,0.5,2006-12-31,0.5,2007,0.5,2007-12-31,0.5,2008,0.5,2008-12-31,0.5,2009,0.5,2009-12-31,0.5,2010,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
42,42,42,MW-30d,2016-12-31,160.0,2017,235.0,2017-12-31,0.0,2018,192.5,2018-12-31,0.0,2019,167.5,2019-12-31,0.0,2020,127.5,2020-12-31,0.0,2020-11-10,110.0,19818.75,2015-12-31,822.2637267814905,2016-12-31,742.8959802117317,2017-12-31,647.5162623372801,2018-12-31,571.5268308682197,2019-12-31,461.7816875323808,189674.5605447657
43,43,43,3249 Dexter Rd,2007-12-31,0.5,2008,0.5,2008-12-31,0.5,2009,0.5,2009-12-31,0.5,2010,0.5,2010-12-31,0.5,2011,0.5,2011-12-31,0.5,2011-05-18,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
44,44,44,697 South Wagner Rd,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-10-26,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
45,45,45,MW-79d,2016-12-31,0.0,2017,3.75,2017-12-31,12.666666666666666,2018,0.5,2018-12-31,2.0,2019,0.7,2019-12-31,0.0,2020,0.5,2020-12-31,12.666666666666666,2020-10-20,0.5,62.41161111111111,2015-12-31,22.9688160436328,2016-12-31,54.6897225156094,2017-12-31,55.6446654643675,2018-12-31,56.0312290885493,2019-12-31,52.54776120938931,2253.038751874903
46,46,46,MW-69,2015-12-31,0.5,2016,0.5,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
47,47,47,435 Barber,2007-12-31,85.49834580362244,2008,13.5,2008-12-31,160.91826476616333,2009,15.0,2009-12-31,238.7246509095853,2010,16.0,2010-12-31,352.84073158918454,2010-10-25,12.0,2011-12-31,493.8564008269236,2012,11.0,85080.97600868081,2015-12-31,27.226037018702524,2016-12-31,27.817572826251823,2017-12-31,28.407492415747715,2018-12-31,28.9974120052436,2019-12-31,29.58733159473949,0.8947996329178114
48,48,48,MW-59s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-13,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
49,49,49,MW-35,2016-12-31,12.064974963184348,2017,3.125,2017-12-31,7.642047137781431,2018,3.1,2018-12-31,7.634051093677149,2019,2.525,2019-12-31,12.00111495635631,2020,2.675,2020-12-31,6.37003764471153,2020-10-14,2.7,45.42026882295355,2015-12-31,4.593432762566184,2016-12-31,4.471406959280792,2017-12-31,4.3361817486675145,2018-12-31,4.190580938616979,2019-12-31,4.037981103677605,0.6657877606650913
50,50,50,MW-10s,2006-12-31,33.879999999999995,2007,40.0,2007-12-31,33.879999999999995,2008,39.0,2008-12-31,33.879999999999995,2009,44.0,2009-12-31,33.879999999999995,2010,0.5,2010-12-31,33.879999999999995,2010-08-10,0.5,478.9063999999999,2015-12-31,29.6086264680021,2016-12-31,29.998440362425388,2017-12-31,30.38819527784779,2018-12-31,30.77795019327019,2019-12-31,31.16770510869259,0.6078892792659821
51,51,51,MW-105s,2016-12-31,627.4669755568169,2017,562.5,2017-12-31,651.3071771846804,2018,537.5,2018-12-31,508.7014874571189,2019,480.0,2019-12-31,455.4908271552199,2020,407.5,2020-12-31,382.7031488121543,2020-11-11,370.0,4092.209270956475,2015-12-31,197.0827258520544,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,267785.7997118267
52,52,52,DOLPH,2016-12-31,81.27004603142093,2017,100.27272727272728,2017-12-31,84.8753407148058,2018,115.16666666666669,2018-12-31,93.02914648456212,2019,155.33333333333334,2019-12-31,98.22225444542062,2020,136.92307692307693,2020-12-31,108.13079528588942,2020-12-03,160.0,1869.7292158577104,2015-12-31,112.61100160029592,2016-12-31,120.57040647065976,2017-12-31,129.0622655350356,2018-12-31,138.16404339664868,2019-12-31,147.97155750436454,396.896331654432
53,53,53,NMW-3d,2016-12-31,561.6948779531864,2017,480.0,2017-12-31,503.3897559063727,2018,540.0,2018-12-31,445.0846338595591,2019,520.0,2019-12-31,386.7795118127454,2020,480.0,2020-12-31,328.47438976593173,2020-08-21,480.0,9055.349023002833,2015-12-31,567.3566693608878,2016-12-31,508.9610885163048,2017-12-31,558.8845113759539,2018-12-31,476.7215730622424,2019-12-31,417.9336690759202,7047.481474709758
54,54,54,MW-39d,2016-12-31,73.7,2017,39.75,2017-12-31,73.7,2018,29.0,2018-12-31,73.7,2019,29.25,2019-12-31,73.7,2020,25.0,2020-12-31,73.7,2020-10-16,20.0,2076.3750000000005,2015-12-31,184.7625111977308,2016-12-31,184.7625111977308,2017-12-31,184.7625111977308,2018-12-31,184.7625111977308,2019-12-31,184.7625111977308,20492.715195445893
55,55,55,MW-32,2016-12-31,12.304632867132868,2017,16.5,2017-12-31,11.609265734265737,2018,22.0,2018-12-31,10.913898601398602,2019,22.0,2019-12-31,10.21853146853147,2020,18.75,2020-12-31,10.0,2020-10-07,18.0,77.05121269683112,2015-12-31,12.94890485573513,2016-12-31,12.94890485573513,2017-12-31,12.94890485573513,2018-12-31,12.94890485573513,2019-12-31,12.94890485573513,21.356552376072933
56,56,56,MW-103d,2016-12-31,13.864225795710176,2017,8.975,2017-12-31,11.226928005309452,2018,8.275,2018-12-31,11.332229389626278,2019,8.225000000000001,2019-12-31,10.075968580289349,2020,6.55,2020-12-31,10.314770840186377,2020-12-04,6.0,14.664596828447134,2015-12-31,9.393237020899583,2016-12-31,4.843984499741805,2017-12-31,1.6929510157776282,2018-12-31,0.7117343854945007,2019-12-31,0.0,65.19563398050902
57,57,57,MW-101,2016-12-31,146.52178739911542,2017,120.0,2017-12-31,116.429270991649,2018,112.5,2018-12-31,70.8146248571998,2019,112.5,2019-12-31,43.87454038343261,2020,89.75,2020-12-31,38.83333333333314,2020-10-15,96.0,1565.8200901949565,2015-12-31,168.59372501657612,2016-12-31,171.4915451589335,2017-12-31,171.1178999462956,2018-12-31,169.74909740742282,2019-12-31,165.4004031140774,1486.384773731177
58,58,58,440 Clarendon,2001-12-31,23.307267454234207,2002,146.75,2002-12-31,30.78054190149549,2003,132.5,2003-12-31,122.537457604594,2004,159.5,2005-12-31,32.47301043940666,2005-01-12,192.0,,,,,,2015-12-31,160.65972105613596,2016-12-31,164.45165416693794,2017-12-31,168.24358727773992,2018-12-31,172.0355203885419,2019-12-31,175.82745349934387,127.39893985939796
59,59,59,110 Parkland Plaza,2015-12-31,1.647338947334558,2016,2.5,2016-12-31,1.6554089313152454,2017,1.6,2017-12-31,1.3309905620513638,2018,1.4,2018-12-31,1.181572192787482,2019,1.2,2019-12-31,0.9488204901902672,2020,1.0,0.14756444984621,2015-12-31,3.8792594388788,2016-12-31,3.8792594388788,2017-12-31,3.8792594388788,2018-12-31,3.8792594388788,2019-12-31,3.8792594388788,1.2060137003252982
60,60,60,TW-5,2015-12-31,718.3959024367723,2015-10-01,750.0,2016-12-31,717.9801501407244,2015-10-01,750.0,2017-12-31,717.5663991903144,2019-07-18,780.0,2018-12-31,717.1535095663838,2019,745.0,2019-12-31,716.7414783952461,2020,806.6666666666666,2956.802158595929,2015-12-31,727.7309901536253,2016-12-31,678.1520805239411,2017-12-31,631.9508864420716,2018-12-31,588.8972906584206,2019-12-31,548.7768533680475,10794.091431180252
61,61,61,MW-99d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-13,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
62,62,62,MW-76s,2016-12-31,269.98080563805746,2017,274.1666666666667,2017-12-31,304.10966792871005,2018,269.1666666666667,2018-12-31,342.55283411404736,2019,269.1666666666667,2019-12-31,385.85568475604526,2020,260.8333333333333,2020-12-31,434.7743130736097,2020-12-02,230.0,12837.434398479556,2015-12-31,270.83986404898053,2016-12-31,317.26129736301874,2017-12-31,337.8076292932646,2018-12-31,346.6599005343337,2019-12-31,365.64011349817,6001.480298375575
63,63,63,MW-57,2016-12-31,5.199999908357858,2017,2.55,2017-12-31,5.199999908357858,2018,2.4000000000000004,2018-12-31,5.199999908357858,2019,2.075,2019-12-31,5.199999908357858,2020,2.075,2020-12-31,5.199999908357858,2020-11-16,0.5,11.296749398827558,2015-12-31,2.482397137533237,2016-12-31,1.309150972311061,2017-12-31,1.2029239526923676,2018-12-31,2.7643559471841304,2019-12-31,5.030514719655317,2.0470627929045806
64,64,64,MW-120s,2016-12-31,1.178888713311376,2017,0.5,2017-12-31,1.3062795268651384,2018,0.5,2018-12-31,1.4365995850534403,2019,0.5,2019-12-31,1.565332255816476,2020,0.5,2020-12-31,1.6960437027597612,2020-10-12,0.5,0.9107297394840048,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
65,65,65,MW-68,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-11-24,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
66,66,66,MW-50,2016-12-31,747.7170847527448,2017,840.0,2017-12-31,759.830957287683,2018,925.0,2018-12-31,771.9448298226213,2019,850.0,2019-12-31,784.0587023575598,2020,815.0,2020-12-31,796.2057635843745,2020-10-14,800.0,8572.263767646118,2015-12-31,669.3400001304117,2016-12-31,662.755208341571,2017-12-31,662.755208341571,2018-12-31,663.3195268165397,2019-12-31,660.9847435088938,751.5958974655623
67,67,67,MW-92,2016-12-31,25.94491295817601,2017,32.75,2017-12-31,29.92693310421929,2018,42.75,2018-12-31,30.40011601286657,2019,53.0,2019-12-31,28.59859481903293,2020,66.25,2020-12-31,32.10669438799236,2020-10-21,72.0,746.1198310493504,2015-12-31,24.308799271962144,2016-12-31,24.80006801151421,2017-12-31,25.309031263955845,2018-12-31,25.83568902928706,2019-12-31,26.380041307507856,32.190987673562745
